,Accuracy,MCC,F1
knn,0.9583333333333334,0.9375976715114386,0.9583268218992551
svm_rbf,0.9916666666666667,0.9876028806587153,0.9916653643798509
stack,0.9916666666666667,0.9876028806587153,0.9916653643798509
